cluster_name,cluster_context,cluster_server,role_name,creation_timestamp,api_groups,resources,verbs,non_resource_urls
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,cluster-admin,2024-01-15T08:30:00Z,*,*,*,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,view,2024-01-15T08:30:00Z,core,pods;services;configmaps,get;list;watch,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,view,2024-01-15T08:30:00Z,apps,deployments;replicasets;statefulsets,get;list;watch,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,edit,2024-01-15T08:30:00Z,core,pods;services;configmaps;secrets,get;list;watch;create;update;patch;delete,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,edit,2024-01-15T08:30:00Z,apps,deployments;replicasets;statefulsets,get;list;watch;create;update;patch;delete,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,admin,2024-01-15T08:30:00Z,core;apps;batch;rbac.authorization.k8s.io,*,*,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,system:discovery,2024-01-15T08:30:00Z,,,get,/api;/api/*;/apis;/apis/*;/healthz;/version
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,self-provisioner,2024-01-15T08:30:00Z,project.openshift.io,projectrequests,create,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,custom-monitoring-reader,2024-06-20T14:15:00Z,monitoring.coreos.com,prometheusrules;servicemonitors,get;list;watch,
ocp-prod-east,admin/api-ocp-prod-east:6443,https://api.ocp-prod-east.example.com:6443,node-reader,2024-03-10T09:00:00Z,core,nodes;nodes/status,get;list;watch,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,cluster-admin,2024-02-01T10:00:00Z,*,*,*,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,view,2024-02-01T10:00:00Z,core,pods;services;configmaps,get;list;watch,
ocp-staging,admin/api-ocp-staging:6443,https://api.ocp-staging.example.com:6443,edit,2024-02-01T10:00:00Z,core;apps,pods;services;deployments,get;list;watch;create;update;patch;delete,
